id,equipamento,regiao,operacao,condicao,incidentes,idade_anos,dias_sem_manutencao,proximo_agua,dano
1,Trator,Sul,Campo,Normal,1,3,30,0,0
2,Colheitadeira,Centro-Oeste,Colheita,Seca,3,8,90,0,1
3,Pulverizador,Sudeste,Proximo_agua,Chuva,2,5,15,1,1
4,Trator,Sul,Transporte,Normal,0,2,20,0,0
5,Colheitadeira,Centro-Oeste,Colheita,Tempestade,4,10,120,0,1
6,Plantadeira,Nordeste,Campo,Seca,1,6,45,0,0
7,Trator,Norte,Campo,Chuva,2,7,60,1,1
8,Pulverizador,Sul,Campo,Normal,0,1,10,0,0
9,Colheitadeira,Centro-Oeste,Colheita,Seca,5,12,180,0,1
10,Trator,Sudeste,Transporte,Normal,1,4,35,0,0
11,Plantadeira,Sul,Campo,Chuva,0,2,12,0,0
12,Colheitadeira,Nordeste,Colheita,Seca,6,15,200,0,1
13,Trator,Centro-Oeste,Campo,Normal,2,8,55,1,1
14,Pulverizador,Sudeste,Proximo_agua,Tempestade,3,4,25,1,1
15,Trator,Sul,Campo,Normal,0,3,18,0,0
16,Colheitadeira,Norte,Colheita,Chuva,4,11,90,1,1
17,Plantadeira,Nordeste,Campo,Seca,1,5,40,0,0
18,Trator,Centro-Oeste,Transporte,Normal,0,4,28,0,0
19,Pulverizador,Sudeste,Proximo_agua,Chuva,3,3,20,1,1
20,Colheitadeira,Sul,Colheita,Normal,1,7,65,0,0
21,Trator,Norte,Campo,Tempestade,5,9,110,1,1
22,Plantadeira,Centro-Oeste,Campo,Normal,0,2,15,0,0
23,Colheitadeira,Nordeste,Colheita,Seca,7,14,250,0,1
24,Trator,Sudeste,Campo,Normal,1,5,38,0,0
25,Pulverizador,Sul,Campo,Chuva,2,3,22,0,1
26,Colheitadeira,Centro-Oeste,Colheita,Seca,3,10,95,0,1
27,Trator,Norte,Transporte,Chuva,2,6,50,1,1
28,Plantadeira,Nordeste,Campo,Normal,0,3,25,0,0
29,Trator,Sul,Campo,Normal,0,2,18,0,0
30,Colheitadeira,Sudeste,Colheita,Tempestade,4,9,85,0,1
31,Pulverizador,Centro-Oeste,Proximo_agua,Chuva,3,4,18,1,1
32,Trator,Norte,Campo,Normal,1,7,58,0,0
33,Colheitadeira,Sul,Colheita,Normal,0,5,48,0,0
34,Plantadeira,Nordeste,Campo,Seca,2,6,62,0,0
35,Trator,Sudeste,Campo,Normal,1,5,42,0,0
36,Colheitadeira,Centro-Oeste,Colheita,Seca,6,13,220,0,1
37,Trator,Norte,Campo,Chuva,3,8,75,1,1
38,Pulverizador,Sul,Campo,Normal,0,1,8,0,0
39,Colheitadeira,Nordeste,Colheita,Seca,4,11,160,0,1
40,Trator,Centro-Oeste,Transporte,Normal,0,4,32,0,0
41,Plantadeira,Sudeste,Campo,Chuva,1,2,14,1,0
42,Colheitadeira,Sul,Colheita,Normal,1,6,55,0,0
43,Trator,Norte,Campo,Tempestade,6,10,130,1,1
44,Pulverizador,Centro-Oeste,Proximo_agua,Chuva,4,5,22,1,1
45,Colheitadeira,Nordeste,Colheita,Seca,5,12,190,0,1
46,Trator,Sudeste,Campo,Normal,0,3,22,0,0
47,Plantadeira,Sul,Campo,Normal,0,2,16,0,0
48,Colheitadeira,Centro-Oeste,Colheita,Normal,2,8,72,0,0
49,Trator,Norte,Campo,Chuva,3,7,65,1,1
50,Pulverizador,Nordeste,Campo,Seca,1,3,28,0,0
