distancia_km,chuva,horario_pico,tempo_min,atraso
13.22,0,1,49.9,0
7.84,0,1,52.7,0
15.0,0,0,50.8,0
15.76,0,1,69.5,1
4.2,0,1,27.2,0
6.79,0,0,26.2,0
12.51,0,1,48.4,0
10.74,0,1,48.0,0
11.93,0,1,53.0,0
8.59,0,1,35.3,0
15.52,0,0,51.7,0
15.11,0,0,47.1,0
12.26,1,0,70.9,1
16.51,1,0,66.9,1
13.87,0,0,58.4,0
8.56,0,1,39.3,0
13.48,0,0,48.2,0
8.16,0,0,21.2,0
15.51,0,1,58.4,0
11.8,0,0,42.9,0
11.26,0,0,50.9,0
9.28,1,1,56.4,0
16.89,0,0,66.4,1
11.38,0,0,44.6,0
10.29,1,0,60.3,1
10.59,1,1,58.4,0
14.13,0,0,65.1,1
13.46,0,0,43.0,0
13.65,0,0,41.6,0
13.72,0,0,38.7,0
20.57,1,1,105.0,1
10.37,0,0,42.9,0
9.95,0,1,42.5,0
8.74,0,0,41.0,0
14.46,0,0,54.2,0
16.52,1,1,90.3,1
11.54,0,0,29.8,0
8.64,0,0,30.1,0
8.7,1,1,49.9,0
14.6,1,0,48.0,0
14.97,0,0,58.3,0
14.17,0,1,55.6,0
9.34,0,0,39.2,0
12.93,0,0,61.3,1
12.47,0,0,40.9,0
12.87,0,0,41.7,0
15.49,1,0,65.3,1
12.89,1,1,72.6,1
14.72,1,0,58.2,0
12.27,1,1,59.4,0
13.16,1,0,64.9,1
14.53,1,0,64.2,1
6.17,1,0,22.2,0
10.72,0,1,38.6,0
10.12,0,0,46.9,0
9.44,0,0,37.1,0
10.9,0,1,42.4,0
17.98,0,0,58.7,0
8.54,0,0,31.7,0
15.87,0,1,67.8,1
5.27,0,0,12.3,0
10.66,0,0,32.1,0
12.65,1,0,57.9,0
14.34,1,0,60.3,1
14.84,0,0,54.5,0
15.17,0,1,51.9,0
10.61,0,0,40.3,0
10.15,1,1,65.1,1
15.43,1,1,76.7,1
11.23,0,1,49.7,0
6.9,1,1,47.0,0
7.47,0,1,31.6,0
8.32,0,1,39.5,0
13.99,1,0,68.8,1
12.57,0,0,42.9,0
14.76,0,0,44.1,0
10.29,0,0,33.4,0
12.63,0,0,45.3,0
14.5,1,1,67.9,1
10.76,1,0,53.7,0
13.83,0,1,60.1,1
9.35,0,0,40.3,0
10.55,1,0,59.6,0
10.47,0,0,44.4,0
7.22,1,0,33.1,0
